,date,debate_name,debate_section,speaker,speech,speaking_time_seconds,candidate,bow_representation
3181,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",George S.,The podium place is based on their current standings in nationally recognized polls with the leading candidates in the center. All candidates have been told they can have one minute to make an opening statement.  going to begin in reverse polling order with Secretary Julian Castro.,19.0,False,"[('the', 1), ('podium', 1), ('base', 1), ('current', 1), ('standing', 1), ('nationally', 1), ('recognize', 1), ('poll', 1), ('lead', 1), ('candidate', 2), ('center', 1), ('all', 1), ('told', 1), ('minute', 1), ('opening', 1), ('statement', 1), ('go', 1), ('reverse', 1), ('polling', 1), ('order', 1), ('secretary', 1), ('julian', 1), ('castro', 1)]"
3182,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Julian Castro,Good evening.  . Welcome to Texas. It great to be here at TSU home of the Tigers. You know on January 20th 2021 at 12:01 PM  going to have a Democratic president a Democratic House and a Democratic Senate. There will be life after Donald Trump. The truth is that our problems  start just with Donald Trump and we  solve them by embracing old ideas. We need a bold vision. Universal pre-K and universal health care. Unleashing millions of new jobs in the clean energy economy. A tax system that rewards people who have to work for a living.,47.0,True,"[('good', 1), ('even', 1), ('welcome', 1), ('texas', 1), ('tsu', 1), ('home', 1), ('tiger', 1), ('you', 1), ('january', 1), ('go', 1), ('democratic', 3), ('house', 1), ('senate', 1), ('there', 1), ('life', 1), ('donald', 2), ('trump', 2), ('the', 1), ('truth', 1), ('problem', 1), ('solve', 1), ('embrace', 1), ('old', 1), ('idea', 1), ('bold', 1), ('vision', 1), ('universal', 2), ('prek', 1), ('health', 1), ('care', 1), ('unleash', 1), ('million', 1), ('job', 1), ('clean', 1), ('energy', 1), ('economy', 1), ('tax', 1), ('system', 1), ('reward', 1), ('work', 1), ('living', 1)]"
3183,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Julian Castro,First we have to win and that means exciting a young diverse coalition of Americans who are ready for a bold future. That what Kennedy did. It what Carter did. It what Clinton did. It what Barack Obama did and  what I can do in this race. Get back Michigan Wisconsin and Pennsylvania. Florida Georgia and Arizona and finally turn Texas blue and say goodbye to Donald Trump.,30.0,True,"[('first', 1), ('mean', 1), ('excite', 1), ('young', 1), ('diverse', 1), ('coalition', 1), ('american', 1), ('ready', 1), ('bold', 1), ('future', 1), ('that', 1), ('kennedy', 1), ('carter', 1), ('clinton', 1), ('barack', 1), ('obama', 1), ('race', 1), ('get', 1), ('michigan', 1), ('wisconsin', 1), ('pennsylvania', 1), ('florida', 1), ('georgia', 1), ('arizona', 1), ('finally', 1), ('texas', 1), ('blue', 1), ('goodbye', 1), ('donald', 1), ('trump', 1)]"
3185,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Amy Klobuchar,Good evening Texas Southern. I believe that what unites us up here the ten of us is much stronger than what divides us and I think  true of our country too. Now I may not be the loudest person up here but I think  already got that in the White House. Houston we have a problem. We have a guy there that is literally running our country like a game show. He would rather lie than lead. I think we need something different. I am someone that tells the truth. I  make promises that I  keep. I have people back and I believe that to win you bring people with you and that is how you govern as well.  going to hear a lot of ideas up here. Some will be great but if you see that some of them seem a little off track  got a better way. If you feel stuck in the middle of the extremes in our politics and you are tired of the noise and the nonsense  got a home with me. Because I  want to be the president for half of America. I want to be the president for all of America.,78.0,True,"[('good', 1), ('even', 1), ('texas', 1), ('southern', 1), ('believe', 2), ('unites', 1), ('ten', 1), ('stronger', 1), ('divide', 1), ('true', 1), ('now', 1), ('may', 1), ('loudest', 1), ('person', 1), ('already', 1), ('get', 3), ('white', 1), ('house', 1), ('houston', 1), ('problem', 1), ('guy', 1), ('literally', 1), ('run', 1), ('game', 1), ('rather', 1), ('lie', 1), ('lead', 1), ('tell', 1), ('truth', 1), ('promise', 1), ('govern', 1), ('go', 1), ('hear', 1), ('idea', 1), ('some', 1), ('seem', 1), ('little', 1), ('track', 1), ('well', 1), ('feel', 1), ('stuck', 1), ('middle', 1), ('extreme', 1), ('politics', 1), ('tire', 1), ('noise', 1), ('nonsense', 1), ('home', 1), ('because', 1), ('half', 1), ('america', 2)]"
3187,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Beto ORourke,It an honor to be on this debate stage. It is wonderful to be back in Texas in Houston back here at TSU. On August 3rd in El Paso Texas two things became crystal clear for me and I think produced a turning point for this country. The first is just how dangerous Donald Trump is. The cost and the consequence of his presidency. Racism and violence that had long had been a part of America was welcomed out into the open and directed to my hometown of El Paso Texas. Where 22 people were killed dozens more grievously injured by a man carrying a weapon he should never have been able to buy in the first place. Inspired to kill by our president.,46.0,False,"[('honor', 1), ('wonderful', 1), ('texas', 3), ('houston', 1), ('tsu', 1), ('august', 1), ('paso', 2), ('thing', 1), ('become', 1), ('crystal', 1), ('produce', 1), ('turn', 1), ('the', 2), ('dangerous', 1), ('donald', 1), ('trump', 1), ('consequence', 1), ('presidency', 1), ('racism', 1), ('violence', 1), ('america', 1), ('welcome', 1), ('open', 1), ('direct', 1), ('hometown', 1), ('where', 1), ('kill', 2), ('dozen', 1), ('grievously', 1), ('injured', 1), ('man', 1), ('carry', 1), ('weapon', 1), ('able', 1), ('buy', 1), ('inspire', 1)]"
3188,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Beto ORourke,The second is how insufficient our politics is to meet the threat that we have right now. The bitterness the pettiness the smallness of the moment the incentives to attack one another and try to make differences without distinctions. Mountains out of molehills. We have to be bigger. We have to see clearly. We have to speak honestly and we have to act decisively. That what I want to do for you as President of the United States. Thank you.,28.0,False,"[('the', 2), ('insufficient', 1), ('politics', 1), ('meet', 1), ('threat', 1), ('bitterness', 1), ('pettiness', 1), ('smallness', 1), ('moment', 1), ('incentive', 1), ('attack', 1), ('another', 1), ('difference', 1), ('distinction', 1), ('mountain', 1), ('molehill', 1), ('bigger', 1), ('clearly', 1), ('speak', 1), ('honestly', 1), ('act', 1), ('decisively', 1), ('that', 1), ('president', 1), ('united', 1), ('state', 1), ('thank', 1)]"
3190,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Cory Booker,It was over twenty years ago that I was a law student and moved to inner city Newark New Jersey to serve as a tenants' rights lawyer to try to address the challenges in my community. I was sobered by them. The gun violence the substandard housing but it was my greatest mentor a woman named Ms. Virginia Jones who challenged me. She said Boy if all you see in this neighborhood is problems  all  ever going to be but if  stubborn and defiant and can put forth a vision that can unify people then we can make transformative change. She was a church woman that said Without vision the people will perish.,35.0,True,"[('twenty', 1), ('year', 1), ('law', 1), ('student', 1), ('move', 1), ('inner', 1), ('city', 1), ('newark', 1), ('new', 1), ('jersey', 1), ('serve', 1), ('tenant', 1), ('right', 1), ('lawyer', 1), ('address', 1), ('challenge', 1), ('community', 1), ('sober', 1), ('the', 1), ('gun', 1), ('violence', 1), ('substandard', 1), ('housing', 1), ('greatest', 1), ('mentor', 1), ('woman', 2), ('name', 1), ('m', 1), ('virginia', 1), ('jones', 1), ('challenged', 1), ('she', 2), ('say', 2), ('boy', 1), ('neighborhood', 1), ('problem', 1), ('ever', 1), ('go', 1), ('stubborn', 1), ('defiant', 1), ('forth', 1), ('vision', 2), ('unify', 1), ('transformative', 1), ('change', 1), ('church', 1), ('without', 1), ('perish', 1)]"
3191,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Cory Booker,Well  exactly what we did. We created extraordinary unity in our community and we did things that other people thought were impossible. That the story of America. At our best we unify. We find common cause and common purpose. The differences amongst us Democrats on the stage are not as great as the urgency for us to unite as a party. Not just to beat Donald Trump but to unite America in common cause and common purpose. That why  running for president and  how I will lead this nation.,37.0,True,"[('well', 1), ('exactly', 1), ('create', 1), ('extraordinary', 1), ('unity', 1), ('community', 1), ('thing', 1), ('thought', 1), ('impossible', 1), ('that', 2), ('story', 1), ('america', 2), ('unify', 1), ('find', 1), ('common', 4), ('cause', 2), ('purpose', 2), ('the', 1), ('difference', 1), ('amongst', 1), ('democrat', 1), ('urgency', 1), ('unite', 2), ('party', 1), ('not', 1), ('donald', 1), ('trump', 1), ('run', 1), ('lead', 1), ('nation', 1)]"
3193,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Andrew Yang,In America today everything revolves around the almighty dollar. Our schools our hospitals our media even our government. It why we  trust our institutions anymore. We have to get our country working for us again instead of the other way around. We have to see ourselves as the owners and shareholders of this democracy rather than inputs into a giant machine.,23.0,True,"[('america', 1), ('everything', 1), ('revolves', 1), ('almighty', 1), ('dollar', 1), ('our', 1), ('school', 1), ('hospital', 1), ('medium', 1), ('government', 1), ('trust', 1), ('institution', 1), ('anymore', 1), ('work', 1), ('instead', 1), ('owner', 1), ('shareholder', 1), ('democracy', 1), ('rather', 1), ('input', 1), ('giant', 1), ('machine', 1)]"
3194,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Andrew Yang,When you donate money to a presidential campaign what happens? The politician spends the money on TV ads and consultants and you hope it works out. It time to trust ourselves more than our politicians. That why  going to do something unprecedented tonight. My campaign will now give a freedom dividend of $1000 a month for an entire year to 10 American families. Someone watching this at home right now. If you believe that you can solve your own problems better than any politician go to yang2020.com and tell us how $1000 a month will help you do just that. This is how we will get our country working for us again the American people.,42.0,True,"[('when', 1), ('donate', 1), ('money', 2), ('presidential', 1), ('campaign', 2), ('happens', 1), ('the', 1), ('politician', 3), ('spends', 1), ('ad', 1), ('consultant', 1), ('hope', 1), ('work', 2), ('trust', 1), ('that', 1), ('go', 1), ('unprecedented', 1), ('give', 1), ('freedom', 1), ('dividend', 1), ('month', 2), ('entire', 1), ('american', 2), ('family', 1), ('someone', 1), ('watch', 1), ('home', 1), ('believe', 1), ('solve', 1), ('problem', 1), ('well', 1), ('this', 1)]"
3197,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Pete Buttigieg,It original.  give you that. The American people are divided and doubtful at the very moment we need to rise to some of the greatest challenges  ever seen. As a mayor of an industrial city coming back from the brink as a veteran of the war in Afghanistan I know  at stake in our national leadership. We keep sending politicians to Washington asking them to fight for us but then when they get there they seem more interested in the part about fighting than the part about us. Good politics is supposed to be not about the day to day fights of the politicians but about the day to day lives of Americans.,39.0,True,"[('original', 1), ('give', 1), ('the', 1), ('american', 2), ('divide', 1), ('doubtful', 1), ('moment', 1), ('rise', 1), ('greatest', 1), ('challenge', 1), ('ever', 1), ('see', 1), ('industrial', 1), ('city', 1), ('come', 1), ('brink', 1), ('veteran', 1), ('war', 1), ('afghanistan', 1), ('stake', 1), ('national', 1), ('leadership', 1), ('send', 1), ('politician', 2), ('washington', 1), ('ask', 1), ('fight', 3), ('seem', 1), ('interested', 1), ('good', 1), ('politics', 1), ('suppose', 1), ('life', 1)]"
3198,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Pete Buttigieg,We just marked the anniversary of 9-11. All day today  been thinking about September 12th. The way it felt when for a moment we came together as a country. Imagine if we had been able to sustain that unity. Imagine what would be possible right now with ideas that are bold enough to meet the challenges of our time but big enough as well that they could unify the American people. That what presidential leadership can do. That what the Presidency is for and that is why  asking for your vote.,33.0,True,"[('marked', 1), ('anniversary', 1), ('all', 1), ('think', 1), ('september', 1), ('the', 1), ('felt', 1), ('moment', 1), ('come', 1), ('together', 1), ('imagine', 2), ('able', 1), ('sustain', 1), ('unity', 1), ('possible', 1), ('idea', 1), ('bold', 1), ('meet', 1), ('challenge', 1), ('unify', 1), ('american', 1), ('that', 2), ('presidential', 1), ('leadership', 1), ('presidency', 1), ('ask', 1), ('vote', 1)]"
3200,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Kamala Harris,Thank you. It great to be back at TSU. I plan on spending tonight talking with you about my plans to address the problems that keep you up at night. First I have a few words for Donald Trump who we all know is watching. President Trump you spent the last two and a half years full time trying to sow hate and division among us and that is why  gotten nothing done. You have used hate intimidation fear and over 12000 lies as a way to distract from your failed policies and your broken promises. The only reason  not been indicted is because there was a memo in the Department of Justice that says the sitting president cannot be charged with a crime. Here what you  get. What you  get is that the American people are so much better than this. We know that the vast majority of us have so much more in common than what separates us regardless of our race where we live or the party with which  registered to vote. I plan on focusing on our common issues our common hopes and desires and in that way unifying our country winning this election and turning the page for America. Now President Trump you can go back to watching Fox News.,87.0,True,"[('thank', 1), ('tsu', 1), ('plan', 3), ('spending', 1), ('talk', 1), ('address', 1), ('problem', 1), ('night', 1), ('first', 1), ('word', 1), ('donald', 1), ('trump', 3), ('watch', 2), ('president', 2), ('spent', 1), ('half', 1), ('year', 1), ('full', 1), ('try', 1), ('sow', 1), ('hate', 2), ('division', 1), ('among', 1), ('gotten', 1), ('nothing', 1), ('do', 1), ('you', 1), ('use', 1), ('intimidation', 1), ('fear', 1), ('lie', 1), ('distract', 1), ('fail', 1), ('policy', 1), ('broken', 1), ('promise', 1), ('the', 1), ('reason', 1), ('indict', 1), ('memo', 1), ('department', 1), ('justice', 1), ('say', 1), ('sit', 1), ('charge', 1), ('crime', 1), ('here', 1), ('what', 1), ('american', 1), ('well', 1), ('vast', 1), ('majority', 1), ('common', 3), ('separate', 1), ('regardless', 1), ('race', 1), ('party', 1), ('register', 1), ('vote', 1), ('focus', 1), ('issue', 1), ('hope', 1), ('desire', 1), ('unify', 1), ('win', 1), ('election', 1), ('turn', 1), ('page', 1), ('america', 1), ('now', 1), ('fox', 1), ('news', 1)]"
3202,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Bernie Sanders,Let me be blunt and tell you what you  hear much about in Congress or in the media and that is it goes without saying that we must and will defeat Trump the most dangerous president in the history of this country. We must do more. We must do more. We have got to recognize that this country is moving into an oligarchic form of society where a handful of billionaires control the economic and political life of this country. As president I am prepared to take them on. Yes we will raise the minimum wage to a living wage. Yes we will finally make sure that every American has healthcare as a human right not a privilege. Yes we will address the catastrophic crisis of climate change and transform our energy system away from fossil fuel.,74.0,True,"[('let', 1), ('blunt', 1), ('hear', 1), ('congress', 1), ('medium', 1), ('go', 1), ('say', 1), ('defeat', 1), ('trump', 1), ('dangerous', 1), ('history', 1), ('get', 1), ('recognize', 1), ('move', 1), ('oligarchic', 1), ('form', 1), ('society', 1), ('handful', 1), ('billionaire', 1), ('control', 1), ('economic', 1), ('life', 1), ('prepared', 1), ('yes', 3), ('raise', 1), ('minimum', 1), ('wage', 2), ('living', 1), ('finally', 1), ('american', 1), ('healthcare', 1), ('human', 1), ('privilege', 1), ('address', 1), ('catastrophic', 1), ('crisis', 1), ('climate', 1), ('change', 1), ('transform', 1), ('energy', 1), ('system', 1), ('fossil', 1), ('fuel', 1)]"
3204,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Elizabeth Warren,I was born and raised in Oklahoma but  sure glad to be in Texas tonight. All three of my brothers served in military bases here in Texas. That was their ticket to the middle class. Me I got my big opportunity about a half a mile down the road from here at the University of Houston back when it cost $ 50 a semester. For a price that I could pay for on a part time waitressing job I got to finish my four year degree and I became a special needs teacher. After law school my first big job was back here in Houston. By then I had two little kids and when childcare nearly brought me down my Aunt   moved in and saved us all. The paths to America middle class have gotten a lot smaller and a lot narrower. Today service members are preyed upon by predatory lenders. Students are crushed by debt and families cannot afford childcare. I know  broken. I know how to fix it and  going to lead the fight to get it done.,73.0,True,"[('born', 1), ('raise', 1), ('oklahoma', 1), ('glad', 1), ('texas', 2), ('all', 1), ('brother', 1), ('serve', 1), ('military', 1), ('base', 1), ('that', 1), ('ticket', 1), ('middle', 2), ('class', 2), ('get', 2), ('opportunity', 1), ('half', 1), ('mile', 1), ('road', 1), ('university', 1), ('houston', 2), ('semester', 1), ('for', 1), ('price', 1), ('pay', 1), ('waitress', 1), ('job', 2), ('finish', 1), ('degree', 1), ('become', 1), ('special', 1), ('need', 1), ('teacher', 1), ('after', 1), ('law', 1), ('school', 1), ('little', 1), ('kid', 1), ('childcare', 2), ('nearly', 1), ('brought', 1), ('aunt', 1), ('move', 1), ('save', 1), ('the', 1), ('path', 1), ('america', 1), ('gotten', 1), ('smaller', 1), ('narrower', 1), ('today', 1), ('service', 1), ('member', 1), ('preyed', 1), ('upon', 1), ('predatory', 1), ('lender', 1), ('student', 1), ('crush', 1), ('debt', 1), ('family', 1), ('afford', 1), ('broken', 1), ('fix', 1), ('go', 1), ('lead', 1), ('fight', 1), ('do', 1)]"
3206,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Joe Biden,You know when President Kennedy announced the moon shot he used a phrase that sticks with me my whole life. He said  doing it because we refused to postpone. Well I refuse to postpone one more minute spending billions of dollars on curing cancer Alzheimer and other diseases which if we invest in them we can find cures. I refuse to postpone giving every single child in America no matter their zip code pre-K all the way through high school and beyond. I refuse to postpone any longer taking on climate change and leading the world in taking on climate change. Look this is the United States of America. There has never been a single solitary time when  set our mind to something that  not been able to do it.  walking around with our heads down like Woe is me.  the best equipped nation in the world to take this on. It no longer time to postpone. We should get moving. T enormous enormous opportunities once we get rid of Donald Trump.,66.0,True,"[('you', 1), ('president', 1), ('kennedy', 1), ('announce', 1), ('moon', 1), ('shot', 1), ('use', 1), ('phrase', 1), ('stick', 1), ('whole', 1), ('life', 1), ('say', 1), ('refuse', 4), ('postpone', 5), ('well', 1), ('minute', 1), ('spending', 1), ('billion', 1), ('dollar', 1), ('cure', 2), ('cancer', 1), ('alzheimer', 1), ('disease', 1), ('invest', 1), ('find', 1), ('give', 1), ('child', 1), ('america', 2), ('zip', 1), ('code', 1), ('prek', 1), ('high', 1), ('school', 1), ('beyond', 1), ('longer', 2), ('take', 2), ('climate', 2), ('change', 2), ('lead', 1), ('world', 2), ('look', 1), ('united', 1), ('state', 1), ('there', 1), ('solitary', 1), ('set', 1), ('mind', 1), ('able', 1), ('walk', 1), ('head', 1), ('woe', 1), ('equip', 1), ('nation', 1), ('move', 1), ('enormous', 2), ('opportunity', 1), ('rid', 1), ('donald', 1), ('trump', 1)]"
3207,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",George S.,Candidates thank you. Several of you said you are more united than divided and that is certainly true. All of you agree on one big thing the goal of defeating President Trump driving the country in a new direction. Out on the campaign trail you have outlined big differences over how far to go and how fast to go. Vice President Biden the differences between you and the senators on either side of you tonight strike at the heart of this primary debate. Both Senators Warren and Sanders want to replace Obamacare with Medicare for all. You want to build on Obamacare and not scrap it. They proposed spending far more than you to combat climate change and tackle student loan debt and they would raise more in taxes than you to pay for their programs. Are Senators Warren and Sanders pushing too far beyond where Democrats want to go and where the country needs to go?,47.0,False,"[('candidate', 1), ('several', 1), ('say', 1), ('united', 1), ('divide', 1), ('certainly', 1), ('true', 1), ('all', 1), ('goal', 1), ('defeat', 1), ('president', 2), ('trump', 1), ('drive', 1), ('direction', 1), ('out', 1), ('campaign', 1), ('trail', 1), ('outline', 1), ('difference', 2), ('far', 3), ('fast', 1), ('vice', 1), ('biden', 1), ('senator', 3), ('either', 1), ('side', 1), ('strike', 1), ('heart', 1), ('primary', 1), ('both', 1), ('warren', 2), ('sander', 2), ('replace', 1), ('obamacare', 2), ('medicare', 1), ('you', 1), ('build', 1), ('scrap', 1), ('they', 1), ('propose', 1), ('spending', 1), ('combat', 1), ('climate', 1), ('change', 1), ('tackle', 1), ('student', 1), ('loan', 1), ('debt', 1), ('raise', 1), ('tax', 1), ('pay', 1), ('program', 1), ('be', 1), ('push', 1), ('beyond', 1), ('democrat', 1), ('need', 1)]"
3208,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Joe Biden, be for the voters to decide that question. Let me tell you what I think. I think we should have a debate on health care. I know that the senator says s for Bernie. Well  for Barack. I think the Obamacare worked. I think the way in which we add to it replace everything  been cut add a public option. Guarantee that everyone will be able to have affordable insurance number one.,24.0,True,"[('voter', 1), ('decide', 1), ('let', 1), ('health', 1), ('care', 1), ('say', 1), ('bernie', 1), ('well', 1), ('barack', 1), ('obamacare', 1), ('work', 1), ('add', 2), ('replace', 1), ('everything', 1), ('cut', 1), ('public', 1), ('option', 1), ('guarantee', 1), ('everyone', 1), ('able', 1), ('affordable', 1), ('insurance', 1)]"
3209,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Joe Biden,Number two I think we should be in a position of taking a look at what costs are. My plan for health care costs a lot of money. It costs $740 billion. It  cost $30 trillion. $3.4 trillion a year it turns out is twice what the entire federal budget is. That before it exists now without interest on the debt. How are we going to pay for it? I want to hear tonight how  happened.,26.0,True,"[('number', 1), ('position', 1), ('take', 1), ('cost', 3), ('plan', 1), ('health', 1), ('care', 1), ('money', 1), ('billion', 1), ('trillion', 2), ('turn', 1), ('twice', 1), ('entire', 1), ('federal', 1), ('budget', 1), ('that', 1), ('exists', 1), ('interest', 1), ('debt', 1), ('how', 1), ('go', 1), ('pay', 1), ('hear', 1), ('happen', 1)]"
3210,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Joe Biden,As far as my distinguished friend the senator on my left has not indicated how she pays for it. The senator has in fact come forward and said how  going to pay for it but it gets him about halfway there. T a lot of other things that need to be done. I have a bold plan to deal with making sure we triple the money for at risk schools that are title one schools from $15 to $45 billion a year. I go down the line and each of the things  talking about I lay out how I can pay for it how I can get it done and why  better.,33.0,True,"[('far', 1), ('distinguish', 1), ('friend', 1), ('left', 1), ('indicate', 1), ('pay', 3), ('the', 1), ('say', 1), ('go', 1), ('get', 1), ('halfway', 1), ('thing', 2), ('do', 2), ('bold', 1), ('plan', 1), ('deal', 1), ('make', 1), ('triple', 1), ('money', 1), ('risk', 1), ('school', 2), ('title', 1), ('billion', 1), ('line', 1), ('talk', 1), ('lay', 1), ('well', 1)]"
3211,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",George S.,Senator Warren let me take that to you particularly on what Senator Biden was saying there about healthcare. He actually praised Bernie Sanders for being candid about his healthcare plan. Says that Senator Sanders has been candid about the fact that middle class taxes are going to go up and most of private insurance is going to be eliminated. Will you make that same admission?,19.0,False,"[('senator', 3), ('warren', 1), ('particularly', 1), ('biden', 1), ('say', 2), ('healthcare', 2), ('praise', 1), ('bernie', 1), ('sander', 2), ('candid', 2), ('plan', 1), ('middle', 1), ('class', 1), ('tax', 1), ('go', 2), ('private', 1), ('insurance', 1), ('eliminate', 1), ('will', 1), ('admission', 1)]"
3212,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Elizabeth Warren,Let be clear about healthcare and let actually start where Vice President did. We all owe a huge debt to President Obama who fundamentally transformed healthcare in America and committed this country to healthcare for every human being. Now the question is how best can we improve on it? I believe the best way we can do that is we make sure that everybody gets covered by healthcare at the lowest possible cost. How do we pay for it? We pay for it. Those at the very top the richest individuals and the biggest corporations are going to pay more and middle class families are going to pay less. That how this is going to work.,46.0,True,"[('let', 1), ('healthcare', 4), ('vice', 1), ('president', 2), ('owe', 1), ('huge', 1), ('debt', 1), ('obama', 1), ('fundamentally', 1), ('transform', 1), ('america', 1), ('commit', 1), ('human', 1), ('now', 1), ('improve', 1), ('believe', 1), ('everybody', 1), ('get', 1), ('cover', 1), ('lowest', 1), ('possible', 1), ('how', 1), ('pay', 4), ('those', 1), ('top', 1), ('richest', 1), ('individual', 1), ('biggest', 1), ('corporation', 1), ('go', 3), ('middle', 1), ('class', 1), ('family', 1), ('less', 1), ('that', 1), ('work', 1)]"
3213,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",George S.,Direct question. You said middle class families are going to pay less but will middle class taxes go up to pay for the program? I know you believe that the deductibles and the premiums will go down. Will middle class taxes go up? Will private insurance be eliminated?,13.0,False,"[('direct', 1), ('you', 1), ('say', 1), ('middle', 3), ('class', 3), ('family', 1), ('go', 1), ('pay', 2), ('less', 1), ('tax', 2), ('program', 1), ('believe', 1), ('deductible', 1), ('premium', 1), ('will', 2), ('private', 1), ('insurance', 1), ('eliminate', 1)]"
3214,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",Elizabeth Warren,Look what families have to deal with is cost. Total cost. That what they have to deal with. Understand. Families are paying for their health care today. Families pay every time an insurance company says Sorry you  see that specialist. Every time an insurance company says Sorry that doctor is out of network. Sorry. We are not covering that prescription. Families are paying every time they  get a prescription filled because they  pay for it. They  have a lump checked out because they  afford the copay. What  talking about here is  going to happen in families' pockets. What going to happen in their budgets. The answer is on Medicare for all costs are going to go up for wealthier individuals and costs are going to go up for giant corporations but for hardworking families across this country costs are going to go down. That how it should work under Medicare for all in our health care.,58.0,True,"[('look', 1), ('family', 6), ('deal', 2), ('total', 1), ('that', 2), ('understand', 1), ('pay', 4), ('health', 2), ('care', 2), ('insurance', 2), ('company', 2), ('say', 2), ('sorry', 3), ('specialist', 1), ('every', 1), ('doctor', 1), ('network', 1), ('cover', 1), ('prescription', 2), ('fill', 1), ('they', 1), ('lump', 1), ('checked', 1), ('afford', 1), ('copay', 1), ('what', 2), ('talk', 1), ('go', 5), ('pocket', 1), ('budget', 1), ('the', 1), ('medicare', 2), ('cost', 3), ('wealthier', 1), ('individual', 1), ('giant', 1), ('corporation', 1), ('hardworking', 1), ('work', 1)]"
3215,09-12-2019,September Houston Democratic Debate Transcript  Third Debate,"Part 1: Gun Control, Healthcare, Criminal Justice",George S.,Senator Sanders you were invoked by the vice president also. Take on that question about taxes.,5.0,False,"[('senator', 1), ('sander', 1), ('invoked', 1), ('take', 1), ('tax', 1)]"
